,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-03-15,6.0,6.4,6.0,6.2,6.2,14350
1,2016-03-16,6.2,6.4,6.1,6.3,6.3,9470
2,2016-03-17,6.3,6.4,6.2,6.3,6.3,15160
3,2016-03-18,6.4,6.4,5.5,5.6,5.6,71040
4,2016-03-21,5.9,5.9,5.6,5.7,5.7,14790
5,2016-03-22,5.8,6.0,5.7,5.7,5.7,9620
6,2016-03-23,5.7,6.0,5.7,5.8,5.8,6050
7,2016-03-24,5.9,5.9,5.7,5.8,5.8,2160
8,2016-03-28,5.7,5.9,5.6,5.6,5.6,8840
9,2016-03-29,5.7,5.9,5.5,5.5,5.5,4870
10,2016-03-30,5.6,5.8,5.6,5.6,5.6,4950
11,2016-03-31,5.9,5.9,5.6,5.7,5.7,3700
12,2016-04-01,5.9,5.9,5.6,5.7,5.7,4760
13,2016-04-04,5.8,6.0,5.8,5.9,5.9,8860
14,2016-04-05,6.0,6.0,5.5,5.6,5.6,9210
15,2016-04-06,5.6,6.0,5.5,5.7,5.7,10830
16,2016-04-07,5.7,5.9,5.7,5.8,5.8,2100
17,2016-04-08,5.8,5.9,5.5,5.6,5.6,6810
18,2016-04-11,5.6,6.1,5.5,5.7,5.7,70430
19,2016-04-12,5.8,5.8,5.5,5.7,5.7,22290
20,2016-04-13,5.6,5.7,5.6,5.7,5.7,10130
21,2016-04-14,6.0,6.0,5.5,5.9,5.9,13500
22,2016-04-15,6.0,6.2,5.7,6.0,6.0,18440
23,2016-04-18,6.0,6.3,6.0,6.0,6.0,11920
24,2016-04-19,6.3,6.4,6.0,6.2,6.2,10590
25,2016-04-20,6.3,6.3,5.8,5.9,5.9,12270
26,2016-04-21,5.9,6.2,5.7,6.1,6.1,10880
27,2016-04-22,6.1,6.3,6.0,6.0,6.0,24520
28,2016-04-25,5.9,6.2,5.8,6.0,6.0,4590
29,2016-04-26,6.1,6.4,6.0,6.4,6.4,12970
30,2016-04-27,6.5,7.6,6.5,7.4,7.4,122990
31,2016-04-28,7.5,7.7,6.5,7.1,7.1,49130
32,2016-04-29,7.0,7.2,6.8,7.0,7.0,24110
33,2016-05-02,6.9,7.0,6.7,6.7,6.7,10270
34,2016-05-03,6.7,7.0,6.7,6.8,6.8,8930
35,2016-05-04,6.9,7.2,6.5,7.2,7.2,22930
36,2016-05-05,6.8,7.1,6.6,6.9,6.9,15310
37,2016-05-06,6.8,7.0,6.6,6.9,6.9,4230
38,2016-05-09,6.8,7.0,6.5,6.9,6.9,7500
39,2016-05-10,6.8,7.1,6.7,7.0,7.0,7520
40,2016-05-11,6.8,7.0,6.5,7.0,7.0,9240
41,2016-05-12,7.0,7.0,6.7,6.8,6.8,8040
42,2016-05-13,7.0,7.0,6.7,7.0,7.0,13730
43,2016-05-16,7.0,7.0,6.7,7.0,7.0,6550
44,2016-05-17,7.0,7.0,6.7,7.0,7.0,13010
45,2016-05-18,6.9,7.0,6.7,7.0,7.0,10650
46,2016-05-19,6.8,7.0,6.8,6.8,6.8,7290
47,2016-05-20,6.8,7.0,6.7,6.8,6.8,18460
48,2016-05-23,6.8,7.0,6.8,6.8,6.8,12090
