Date,Open,High,Low,Close,Adj Close,Volume
2016-03-15,6.000000,6.400000,6.000000,6.200000,6.200000,14350
2016-03-16,6.200000,6.400000,6.100000,6.300000,6.300000,9470
2016-03-17,6.300000,6.400000,6.200000,6.300000,6.300000,15160
2016-03-18,6.400000,6.400000,5.500000,5.600000,5.600000,71040
2016-03-21,5.900000,5.900000,5.600000,5.700000,5.700000,14790
2016-03-22,5.800000,6.000000,5.700000,5.700000,5.700000,9620
2016-03-23,5.700000,6.000000,5.700000,5.800000,5.800000,6050
2016-03-24,5.900000,5.900000,5.700000,5.800000,5.800000,2160
2016-03-28,5.700000,5.900000,5.600000,5.600000,5.600000,8840
2016-03-29,5.700000,5.900000,5.500000,5.500000,5.500000,4870
2016-03-30,5.600000,5.800000,5.600000,5.600000,5.600000,4950
2016-03-31,5.900000,5.900000,5.600000,5.700000,5.700000,3700
2016-04-01,5.900000,5.900000,5.600000,5.700000,5.700000,4760
2016-04-04,5.800000,6.000000,5.800000,5.900000,5.900000,8860
2016-04-05,6.000000,6.000000,5.500000,5.600000,5.600000,9210
2016-04-06,5.600000,6.000000,5.500000,5.700000,5.700000,10830
2016-04-07,5.700000,5.900000,5.700000,5.800000,5.800000,2100
2016-04-08,5.800000,5.900000,5.500000,5.600000,5.600000,6810
2016-04-11,5.600000,6.100000,5.500000,5.700000,5.700000,70430
2016-04-12,5.800000,5.800000,5.500000,5.700000,5.700000,22290
2016-04-13,5.600000,5.700000,5.600000,5.700000,5.700000,10130
2016-04-14,6.000000,6.000000,5.500000,5.900000,5.900000,13500
2016-04-15,6.000000,6.200000,5.700000,6.000000,6.000000,18440
2016-04-18,6.000000,6.300000,6.000000,6.000000,6.000000,11920
2016-04-19,6.300000,6.400000,6.000000,6.200000,6.200000,10590
2016-04-20,6.300000,6.300000,5.800000,5.900000,5.900000,12270
2016-04-21,5.900000,6.200000,5.700000,6.100000,6.100000,10880
2016-04-22,6.100000,6.300000,6.000000,6.000000,6.000000,24520
2016-04-25,5.900000,6.200000,5.800000,6.000000,6.000000,4590
2016-04-26,6.100000,6.400000,6.000000,6.400000,6.400000,12970
2016-04-27,6.500000,7.600000,6.500000,7.400000,7.400000,122990
2016-04-28,7.500000,7.700000,6.500000,7.100000,7.100000,49130
2016-04-29,7.000000,7.200000,6.800000,7.000000,7.000000,24110
2016-05-02,6.900000,7.000000,6.700000,6.700000,6.700000,10270
2016-05-03,6.700000,7.000000,6.700000,6.800000,6.800000,8930
2016-05-04,6.900000,7.200000,6.500000,7.200000,7.200000,22930
2016-05-05,6.800000,7.100000,6.600000,6.900000,6.900000,15310
2016-05-06,6.800000,7.000000,6.600000,6.900000,6.900000,4230
2016-05-09,6.800000,7.000000,6.500000,6.900000,6.900000,7500
2016-05-10,6.800000,7.100000,6.700000,7.000000,7.000000,7520
2016-05-11,6.800000,7.000000,6.500000,7.000000,7.000000,9240
2016-05-12,7.000000,7.000000,6.700000,6.800000,6.800000,8040
2016-05-13,7.000000,7.000000,6.700000,7.000000,7.000000,13730
2016-05-16,7.000000,7.000000,6.700000,7.000000,7.000000,6550
2016-05-17,7.000000,7.000000,6.700000,7.000000,7.000000,13010
2016-05-18,6.900000,7.000000,6.700000,7.000000,7.000000,10650
2016-05-19,6.800000,7.000000,6.800000,6.800000,6.800000,7290
2016-05-20,6.800000,7.000000,6.700000,6.800000,6.800000,18460
2016-05-23,6.800000,7.000000,6.800000,6.800000,6.800000,12090
2016-05-24,6.800000,7.000000,6.600000,6.800000,6.800000,18520
2016-05-25,6.900000,7.000000,6.500000,7.000000,7.000000,15320
2016-05-26,7.000000,7.000000,6.600000,6.900000,6.900000,6980
2016-05-27,6.800000,6.900000,6.600000,6.700000,6.700000,8580
2016-05-31,6.700000,6.800000,6.600000,6.800000,6.800000,6720
2016-06-01,6.600000,6.900000,6.600000,6.700000,6.700000,7280
2016-06-02,6.600000,6.800000,6.600000,6.600000,6.600000,13900
2016-06-03,6.600000,6.800000,6.400000,6.600000,6.600000,11190
2016-06-06,6.600000,6.800000,6.200000,6.500000,6.500000,15420
2016-06-07,6.600000,6.700000,6.300000,6.500000,6.500000,18620
2016-06-08,6.500000,6.700000,6.300000,6.500000,6.500000,16330
2016-06-09,6.500000,6.500000,6.100000,6.300000,6.300000,21650
2016-06-10,6.200000,6.300000,6.000000,6.100000,6.100000,28420
2016-06-13,6.100000,6.400000,6.100000,6.400000,6.400000,12410
2016-06-14,6.500000,6.700000,6.300000,6.700000,6.700000,22940
2016-06-15,6.700000,7.500000,6.600000,7.300000,7.300000,78000
2016-06-16,7.000000,7.300000,6.800000,6.900000,6.900000,12360
2016-06-17,7.000000,7.500000,6.400000,6.900000,6.900000,41750
2016-06-20,7.100000,7.100000,6.800000,7.000000,7.000000,7920
2016-06-21,6.800000,7.000000,6.400000,6.500000,6.500000,5940
2016-06-22,6.400000,6.700000,6.400000,6.400000,6.400000,7140
2016-06-23,6.300000,6.500000,6.300000,6.300000,6.300000,9430
2016-06-24,6.200000,6.600000,6.000000,6.300000,6.300000,11140
2016-06-27,6.600000,6.900000,6.000000,6.900000,6.900000,15930
2016-06-28,6.700000,6.800000,6.400000,6.600000,6.600000,6290
2016-06-29,7.100000,7.400000,6.600000,6.900000,6.900000,27090
2016-06-30,6.900000,8.000000,6.900000,7.200000,7.200000,99340
2016-07-01,7.400000,7.500000,7.200000,7.400000,7.400000,17850
2016-07-05,7.000000,7.200000,6.600000,6.700000,6.700000,53010
2016-07-06,6.700000,6.800000,6.500000,6.700000,6.700000,13360
2016-07-07,6.700000,7.100000,6.400000,6.800000,6.800000,17370
2016-07-08,6.700000,7.000000,6.600000,6.800000,6.800000,6920
2016-07-11,6.900000,6.900000,6.500000,6.500000,6.500000,14970
2016-07-12,6.500000,6.800000,6.500000,6.700000,6.700000,8320
2016-07-13,6.700000,6.700000,6.600000,6.600000,6.600000,7530
2016-07-14,6.900000,6.900000,6.600000,6.700000,6.700000,2480
2016-07-15,6.800000,6.800000,6.200000,6.300000,6.300000,26620
2016-07-18,6.300000,6.800000,6.300000,6.600000,6.600000,8240
2016-07-19,6.600000,6.600000,6.400000,6.600000,6.600000,8360
2016-07-20,6.800000,6.800000,6.300000,6.400000,6.400000,12710
2016-07-21,6.400000,6.600000,6.300000,6.400000,6.400000,6370
2016-07-22,6.500000,6.500000,6.300000,6.400000,6.400000,16620
2016-07-25,6.300000,6.500000,6.200000,6.300000,6.300000,15320
2016-07-26,6.300000,6.500000,6.200000,6.200000,6.200000,13650
2016-07-27,6.300000,6.500000,6.200000,6.300000,6.300000,8630
2016-07-28,6.400000,6.500000,6.200000,6.300000,6.300000,3430
2016-07-29,6.300000,6.500000,6.200000,6.200000,6.200000,17060
2016-08-01,6.200000,6.500000,6.200000,6.300000,6.300000,7210
2016-08-02,6.400000,6.700000,6.200000,6.600000,6.600000,21070
2016-08-03,6.500000,7.200000,6.500000,6.900000,6.900000,56050
2016-08-04,6.900000,7.000000,6.400000,6.900000,6.900000,7100
2016-08-05,6.800000,6.900000,6.700000,6.900000,6.900000,4880
2016-08-08,6.900000,6.900000,6.600000,6.900000,6.900000,4650
2016-08-09,6.900000,6.900000,6.700000,6.700000,6.700000,4170
2016-08-10,6.600000,6.700000,6.500000,6.500000,6.500000,2920
2016-08-11,6.400000,6.600000,6.300000,6.500000,6.500000,3910
2016-08-12,6.400000,6.600000,6.400000,6.500000,6.500000,2130
2016-08-15,6.500000,6.700000,6.400000,6.600000,6.600000,5370
2016-08-16,6.700000,6.700000,6.400000,6.500000,6.500000,3120
2016-08-17,6.600000,6.600000,6.300000,6.600000,6.600000,3180
2016-08-18,6.600000,6.800000,6.400000,6.700000,6.700000,8230
2016-08-19,6.600000,6.800000,6.500000,6.600000,6.600000,3280
2016-08-22,6.600000,6.800000,6.300000,6.300000,6.300000,4460
2016-08-23,6.600000,6.600000,6.300000,6.400000,6.400000,9080
2016-08-24,6.500000,6.600000,6.200000,6.300000,6.300000,9440
2016-08-25,6.300000,6.400000,6.200000,6.200000,6.200000,22730
