Date,Open,High,Low,Close,Adj Close,Volume
2014-10-03,7.700000,7.900000,6.900000,7.400000,7.400000,76240
2014-10-06,7.900000,9.800000,7.500000,8.600000,8.600000,346360
2014-10-07,7.900000,7.900000,6.800000,7.500000,7.500000,93450
2014-10-08,7.900000,7.900000,6.300000,7.000000,7.000000,63450
2014-10-09,7.300000,8.600000,6.600000,8.000000,8.000000,84790
2014-10-10,9.000000,15.700000,8.900000,14.700000,14.700000,1677880
2014-10-13,22.299999,27.299999,20.600000,24.500000,24.500000,5059580
2014-10-14,21.500000,21.799999,12.200000,14.000000,14.000000,2046600
2014-10-15,15.900000,15.900000,12.400000,13.900000,13.900000,892790
2014-10-16,20.900000,21.700001,16.299999,18.900000,18.900000,2997080
2014-10-17,22.200001,34.799999,20.600000,32.099998,32.099998,6066140
2014-10-20,22.900000,29.700001,19.500000,21.799999,21.799999,3671760
2014-10-21,18.700001,21.700001,17.200001,17.400000,17.400000,1846420
2014-10-22,20.000000,20.900000,17.400000,17.700001,17.700001,1319570
2014-10-23,17.700001,18.799999,12.900000,16.299999,16.299999,2546040
2014-10-24,18.100000,19.299999,14.700000,15.000000,15.000000,1843090
2014-10-27,14.200000,14.800000,13.500000,14.400000,14.400000,492840
2014-10-28,13.500000,13.900000,10.800000,11.600000,11.600000,949060
2014-10-29,10.000000,10.800000,9.400000,9.500000,9.500000,652390
2014-10-30,11.300000,11.700000,10.000000,10.000000,10.000000,598850
2014-10-31,10.700000,11.200000,9.800000,10.300000,10.300000,358530
2014-11-03,10.300000,10.800000,9.500000,10.800000,10.800000,256900
2014-11-04,10.200000,13.600000,10.200000,11.900000,11.900000,633740
2014-11-05,12.700000,13.100000,11.000000,11.400000,11.400000,461900
2014-11-06,11.800000,11.800000,10.700000,10.900000,10.900000,156140
2014-11-07,10.700000,11.600000,10.200000,11.600000,11.600000,214490
2014-11-10,13.500000,14.100000,11.800000,12.300000,12.300000,576730
2014-11-11,11.900000,12.700000,11.200000,11.500000,11.500000,233420
2014-11-12,11.000000,11.700000,10.700000,11.100000,11.100000,155140
2014-11-13,11.400000,11.500000,10.700000,10.800000,10.800000,91270
2014-11-14,11.200000,11.300000,10.500000,10.500000,10.500000,148050
2014-11-17,10.400000,11.300000,10.300000,10.600000,10.600000,179530
2014-11-18,10.900000,11.000000,10.500000,10.900000,10.900000,107360
2014-11-19,10.900000,12.100000,10.700000,11.500000,11.500000,427990
2014-11-20,11.500000,11.600000,10.700000,10.900000,10.900000,131190
2014-11-21,10.600000,11.100000,10.500000,10.700000,10.700000,174440
2014-11-24,10.600000,11.000000,10.600000,10.800000,10.800000,80510
2014-11-25,10.800000,11.700000,10.600000,11.200000,11.200000,416080
2014-11-26,11.200000,11.200000,10.800000,10.800000,10.800000,147270
2014-11-28,10.900000,11.000000,10.600000,10.600000,10.600000,70300
2014-12-01,10.600000,10.800000,8.700000,8.900000,8.900000,324370
2014-12-02,8.900000,9.700000,8.900000,9.500000,9.500000,108680
2014-12-03,9.600000,9.600000,9.000000,9.000000,9.000000,72840
2014-12-04,9.000000,9.100000,7.600000,7.700000,7.700000,207680
2014-12-05,7.700000,8.200000,6.400000,7.100000,7.100000,243090
2014-12-08,6.700000,7.600000,6.600000,7.100000,7.100000,79340
2014-12-09,7.000000,7.100000,6.600000,6.900000,6.900000,66920
2014-12-10,7.500000,7.700000,6.700000,6.800000,6.800000,148890
2014-12-11,7.000000,7.000000,6.700000,6.900000,6.900000,38360
2014-12-12,6.900000,7.000000,6.600000,6.900000,6.900000,57650
2014-12-15,7.000000,7.300000,6.500000,6.500000,6.500000,70360
2014-12-16,6.300000,6.300000,5.800000,6.300000,6.300000,141340
2014-12-17,6.200000,7.000000,5.800000,6.800000,6.800000,54490
2014-12-18,7.500000,7.500000,6.800000,7.000000,7.000000,72800
2014-12-19,7.000000,7.200000,6.600000,7.200000,7.200000,49950
2014-12-22,7.300000,7.300000,6.900000,7.000000,7.000000,37330
2014-12-23,6.900000,7.300000,6.700000,7.200000,7.200000,68430
2014-12-24,7.200000,7.200000,6.800000,6.800000,6.800000,16140
2014-12-26,6.900000,7.200000,6.600000,6.700000,6.700000,26870
2014-12-29,6.800000,7.100000,6.700000,7.000000,7.000000,83130
2014-12-30,6.700000,7.000000,6.600000,6.700000,6.700000,40850
2014-12-31,6.400000,6.900000,6.200000,6.900000,6.900000,78610
2015-01-02,6.900000,6.900000,6.000000,6.500000,6.500000,57070
2015-01-05,6.500000,6.500000,5.600000,5.900000,5.900000,111730
2015-01-06,6.000000,6.000000,5.000000,5.100000,5.100000,78200
2015-01-07,5.100000,5.700000,5.100000,5.200000,5.200000,41790
2015-01-08,5.200000,5.300000,4.800000,5.100000,5.100000,56400
2015-01-09,5.100000,5.100000,4.700000,4.700000,4.700000,75290
2015-01-12,4.500000,5.200000,4.500000,4.500000,4.500000,42260
2015-01-13,4.800000,4.900000,4.600000,4.600000,4.600000,51810
2015-01-14,4.600000,4.700000,4.400000,4.400000,4.400000,39020
2015-01-15,4.700000,4.700000,4.200000,4.200000,4.200000,36880
2015-01-16,4.200000,4.400000,4.000000,4.400000,4.400000,50860
2015-01-20,4.800000,5.300000,4.500000,4.800000,4.800000,130130
2015-01-21,5.000000,5.200000,4.500000,5.200000,5.200000,57800
2015-01-22,5.300000,5.300000,4.900000,5.200000,5.200000,38450
2015-01-23,5.000000,5.100000,4.700000,5.100000,5.100000,44920
2015-01-26,4.800000,5.000000,4.700000,4.700000,4.700000,32470
2015-01-27,4.700000,4.900000,4.500000,4.500000,4.500000,28290
2015-01-28,4.500000,4.700000,4.500000,4.500000,4.500000,28930
2015-01-29,4.600000,4.800000,4.500000,4.700000,4.700000,29310
2015-01-30,4.700000,4.800000,4.500000,4.800000,4.800000,17590
2015-02-02,4.800000,4.800000,4.500000,4.500000,4.500000,23110
2015-02-03,4.500000,4.600000,4.300000,4.400000,4.400000,24310
2015-02-04,4.700000,5.600000,4.300000,5.500000,5.500000,80990
2015-02-05,5.800000,7.000000,5.200000,5.700000,5.700000,360590
2015-02-06,6.100000,6.400000,5.500000,5.900000,5.900000,81240
2015-02-09,6.100000,6.200000,5.600000,6.000000,6.000000,38280
2015-02-10,5.900000,6.000000,5.400000,5.600000,5.600000,34810
2015-02-11,5.500000,5.500000,5.000000,5.100000,5.100000,57070
2015-02-12,5.800000,6.000000,5.300000,5.400000,5.400000,65720
2015-02-13,5.600000,10.700000,5.300000,9.000000,9.000000,1564110
2015-02-17,12.000000,13.200000,10.100000,10.600000,10.600000,2089430
2015-02-18,10.200000,10.800000,8.600000,8.700000,8.700000,546940
2015-02-19,7.900000,8.000000,7.000000,7.700000,7.700000,309190
2015-02-20,8.200000,10.600000,7.900000,9.300000,9.300000,722780
2015-02-23,9.500000,10.800000,9.500000,9.900000,9.900000,330290
2015-02-24,10.300000,10.600000,8.900000,9.300000,9.300000,202340
2015-02-25,10.400000,10.700000,9.600000,9.900000,9.900000,286590
2015-02-26,9.300000,9.700000,9.200000,9.700000,9.700000,203920
2015-02-27,9.100000,10.600000,8.700000,10.000000,10.000000,345080
2015-03-02,10.400000,10.500000,9.600000,9.700000,9.700000,132210
2015-03-03,9.300000,9.500000,9.000000,9.300000,9.300000,104010
2015-03-04,9.200000,9.400000,8.500000,8.800000,8.800000,135080
2015-03-05,8.400000,8.700000,8.200000,8.400000,8.400000,103720
2015-03-06,8.400000,8.700000,7.600000,8.100000,8.100000,121100
2015-03-09,8.100000,8.300000,7.800000,7.900000,7.900000,43680
2015-03-10,7.900000,8.200000,7.300000,7.400000,7.400000,101010
