"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 03, 2019","12,685.77","12,587.32","12,687.56","12,482.02","-","0.61%"
"Oct 02, 2019","12,608.43","12,742.09","12,742.09","12,557.07","-","-1.77%"
"Oct 01, 2019","12,835.35","13,002.33","13,038.13","12,824.15","-","-1.30%"
"Sep 30, 2019","13,004.74","12,988.89","13,037.81","12,988.89","-","0.25%"
"Sep 27, 2019","12,971.98","13,053.20","13,068.61","12,913.42","-","-0.44%"
"Sep 26, 2019","13,028.74","13,042.20","13,061.86","12,985.03","-","-0.07%"
"Sep 25, 2019","13,037.61","12,991.10","13,053.07","12,943.44","-","0.35%"
"Sep 24, 2019","12,992.26","13,087.74","13,128.05","12,961.23","-","-0.71%"
"Sep 23, 2019","13,085.33","13,084.81","13,111.45","13,040.13","-","-0.06%"
"Sep 20, 2019","13,093.80","13,148.41","13,171.38","13,074.27","-","-0.13%"
"Sep 19, 2019","13,111.25","13,121.21","13,177.88","13,100.88","-","-0.06%"
"Sep 18, 2019","13,119.31","13,109.63","13,125.58","13,024.94","-","-0.09%"
"Sep 17, 2019","13,131.41","13,087.87","13,131.84","13,074.78","-","0.18%"
"Sep 16, 2019","13,107.98","13,134.00","13,134.00","13,080.41","-","-0.12%"
"Sep 13, 2019","13,124.34","13,150.80","13,171.47","13,110.07","-","0.06%"
"Sep 12, 2019","13,116.05","13,096.23","13,150.87","13,061.74","-","0.26%"
"Sep 11, 2019","13,082.41","13,008.33","13,082.41","12,981.43","-","0.68%"
"Sep 10, 2019","12,993.96","12,954.29","12,993.97","12,900.81","-","0.26%"
"Sep 09, 2019","12,960.72","12,975.02","12,975.02","12,925.41","-","0.21%"
"Sep 06, 2019","12,933.38","12,933.51","12,960.60","12,915.93","-","0.12%"
"Sep 05, 2019","12,917.76","12,796.32","12,963.57","12,796.32","-","0.95%"
"Sep 04, 2019","12,796.32","12,757.25","12,797.00","12,746.26","-","1.05%"
