Data Source in SDW: http://sdw.ecb.europa.eu/quickview.do;jsessionid=397A29BB2F1436B9AB6FAEE7A6C2F6BB?SERIES_KEY=120.EXR.D.E5.EUR.EN00.A&start=03-10-2014&end=10-10-2019&submitOptions.x=0&submitOptions.y=0&trans=N
,EXR.D.E5.EUR.EN00.A
,"ECB Nominal effective exch. rate of the Euro against, EER-19 group of trading partners: AU,CA,DK,HK,JP,NO,SG,KR,SE,CH,GB,US and BG,CZ,HU,PL,RO,CN and HR excluding the Euro"
Collection:,Average of observations through period (A)
Period\Unit:,[99Q1=100]
2019-10-03,97.3221
2019-10-02,97.2886
2019-10-01,97.1702
2019-09-30,96.9520
2019-09-27,97.1966
2019-09-26,97.1416
2019-09-25,97.3576
2019-09-24,97.3220
2019-09-23,97.3601
2019-09-20,97.4133
2019-09-19,97.6737
2019-09-18,97.5853
2019-09-17,97.4799
2019-09-16,97.2490
2019-09-13,97.6623
2019-09-12,96.9797
2019-09-11,97.3885
2019-09-10,97.5749
2019-09-09,97.5132
2019-09-06,97.5210
2019-09-05,97.7374
2019-09-04,97.7032
2019-09-03,97.6059
2019-09-02,97.7369
2019-08-30,98.0141
2019-08-29,98.1040
2019-08-28,98.2366
2019-08-27,98.2158
2019-08-26,98.2941
2019-08-23,97.8078
2019-08-22,97.9862
2019-08-21,97.9981
2019-08-20,97.8993
2019-08-19,98.0154
2019-08-16,97.6723
2019-08-15,98.2768
2019-08-14,98.4699
2019-08-13,98.7145
2019-08-12,98.5172
2019-08-09,98.5415
2019-08-08,98.4398
2019-08-07,98.5238
2019-08-06,98.2589
2019-08-05,98.3290
2019-08-02,97.5421
2019-08-01,97.0940
2019-07-31,97.5718
2019-07-30,97.5792
2019-07-29,97.2405
2019-07-26,97.1200
2019-07-25,96.7297
2019-07-24,96.8996
2019-07-23,97.1820
2019-07-22,97.3673
2019-07-19,97.3721
2019-07-18,97.4181
2019-07-17,97.5428
2019-07-16,97.5052
2019-07-15,97.6797
2019-07-12,97.6525
2019-07-11,97.7558
2019-07-10,97.6360
2019-07-09,97.5631
2019-07-08,97.4539
2019-07-05,97.5587
2019-07-04,97.6182
2019-07-03,97.6864
2019-07-02,97.7392
2019-07-01,97.8606
2019-06-28,98.0390
2019-06-27,97.9945
2019-06-26,97.9988
